Study,Continent,Country,Location,Strike,strikeID,size.class.cm,dead.tree.count,dmg.tree.count,total.tree.count
Anderson,Asia,Malaysia,Sarawak,1,Sarawak1,19.40-38.00cm,10,3,13
Anderson,Asia,Malaysia,Sarawak,2,Sarawak2,19.40-38.00cm,17,14,31
Anderson,Asia,Malaysia,Sarawak,3,Sarawak3,19.40-38.00cm,7,3,10
Anderson,Asia,Malaysia,Sarawak,1,Sarawak1,>38cm,25,32,57
Anderson,Asia,Malaysia,Sarawak,2,Sarawak2,>38cm,5,12,17
Anderson,Asia,Malaysia,Sarawak,3,Sarawak3,>38cm,7,5,12
Anderson,Asia,Malaysia,Sarawak,1,Sarawak1,9.70-18.60cm,16,16,32
Anderson,Asia,Malaysia,Sarawak,2,Sarawak2,9.70-18.60cm,15,11,26
Anderson,Asia,Malaysia,Sarawak,3,Sarawak3,9.70-18.60cm,4,5,9
Magnusson,Americas,Brazil,Manaus,1,Manaus1,10-30cm,12,NA,NA
Magnusson,Americas,Brazil,Manaus,2,Manaus2,10-30cm,7,NA,NA
Magnusson,Americas,Brazil,Manaus,3,Manaus3,10-30cm,13,NA,NA
Magnusson,Americas,Brazil,Manaus,1,Manaus1,30-60cm,1,NA,NA
Magnusson,Americas,Brazil,Manaus,2,Manaus2,30-60cm,4,NA,NA
Magnusson,Americas,Brazil,Manaus,3,Manaus3,30-60cm,5,NA,NA
Magnusson,Americas,Brazil,Manaus,1,Manaus1,>60cm,2,NA,NA
Magnusson,Americas,Brazil,Manaus,2,Manaus2,>60cm,1,NA,NA
Magnusson,Americas,Brazil,Manaus,3,Manaus3,>60cm,3,NA,NA
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,1,Sucusari1,>60cm,0,3,3
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,1,Sucusari1,10-30cm,0,4,4
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,1,Sucusari1,1-10cm,0,0,0
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,1,Sucusari1,30-60cm,0,1,1
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,2,Sucusari2,>60cm,1,4,5
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,2,Sucusari2,10-30cm,0,1,1
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,2,Sucusari2,1-10cm,1,1,2
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,2,Sucusari2,30-60cm,0,2,2
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,3,Sucusari3,>60cm,0,1,1
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,3,Sucusari3,10-30cm,0,2,2
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,3,Sucusari3,1-10cm,2,1,3
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,3,Sucusari3,30-60cm,0,2,2
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,4,Sucusari4,>60cm,1,4,5
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,4,Sucusari4,10-30cm,4,0,4
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,4,Sucusari4,1-10cm,0,0,0
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,4,Sucusari4,30-60cm,0,0,0
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,5,Sucusari5,>60cm,1,0,1
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,5,Sucusari5,10-30cm,0,5,5
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,5,Sucusari5,1-10cm,0,0,0
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,5,Sucusari5,30-60cm,0,0,0
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,6,Sucusari6,>60cm,0,1,1
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,6,Sucusari6,10-30cm,10,13,23
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,6,Sucusari6,1-10cm,0,0,0
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,6,Sucusari6,30-60cm,7,6,13
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,7,Sucusari7,>60cm,0,3,3
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,7,Sucusari7,10-30cm,9,15,24
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,7,Sucusari7,1-10cm,6,0,6
Gora_Yanoviak-Peru,Americas,Peru,Sucusari,7,Sucusari7,30-60cm,3,7,10
Yanovia_Gora-Panama,Americas,Panama,BCI,1,BCI1,10-30cm,0,2,2
Yanovia_Gora-Panama,Americas,Panama,BCI,1,BCI1,30-60cm,0,0,0
Yanovia_Gora-Panama,Americas,Panama,BCI,1,BCI1,>60cm,0,1,1
Yanovia_Gora-Panama,Americas,Panama,BCI,3,BCI3,10-30cm,2,8,10
Yanovia_Gora-Panama,Americas,Panama,BCI,3,BCI3,30-60cm,4,0,4
Yanovia_Gora-Panama,Americas,Panama,BCI,3,BCI3,>60cm,1,3,4
Yanovia_Gora-Panama,Americas,Panama,BCI,4,BCI4,10-30cm,1,6,7
Yanovia_Gora-Panama,Americas,Panama,BCI,4,BCI4,30-60cm,0,5,5
Yanovia_Gora-Panama,Americas,Panama,BCI,4,BCI4,>60cm,2,2,4
Yanovia_Gora-Panama,Americas,Panama,BCI,5,BCI5,10-30cm,0,0,0
Yanovia_Gora-Panama,Americas,Panama,BCI,5,BCI5,30-60cm,0,0,0
Yanovia_Gora-Panama,Americas,Panama,BCI,5,BCI5,>60cm,0,1,1
Yanovia_Gora-Panama,Americas,Panama,BCI,6,BCI6,10-30cm,1,4,5
Yanovia_Gora-Panama,Americas,Panama,BCI,6,BCI6,30-60cm,2,1,3
Yanovia_Gora-Panama,Americas,Panama,BCI,6,BCI6,>60cm,1,3,4
Yanovia_Gora-Panama,Americas,Panama,BCI,7,BCI7,10-30cm,12,6,18
Yanovia_Gora-Panama,Americas,Panama,BCI,7,BCI7,30-60cm,0,2,2
Yanovia_Gora-Panama,Americas,Panama,BCI,7,BCI7,>60cm,0,3,3
Yanovia_Gora-Panama,Americas,Panama,BCI,8,BCI8,10-30cm,1,11,12
Yanovia_Gora-Panama,Americas,Panama,BCI,8,BCI8,30-60cm,0,5,5
Yanovia_Gora-Panama,Americas,Panama,BCI,8,BCI8,>60cm,1,6,7
Yanovia_Gora-Panama,Americas,Panama,BCI,9,BCI9,10-30cm,4,5,9
Yanovia_Gora-Panama,Americas,Panama,BCI,9,BCI9,30-60cm,1,7,8
Yanovia_Gora-Panama,Americas,Panama,BCI,9,BCI9,>60cm,1,3,4
Yanovia_Gora-Panama,Americas,Panama,BCI,10,BCI10,10-30cm,0,3,3
Yanovia_Gora-Panama,Americas,Panama,BCI,10,BCI10,30-60cm,0,0,0
Yanovia_Gora-Panama,Americas,Panama,BCI,10,BCI10,>60cm,1,1,2
Yanovia_Gora-Panama,Americas,Panama,BCI,11,BCI11,10-30cm,2,5,7
Yanovia_Gora-Panama,Americas,Panama,BCI,11,BCI11,30-60cm,1,4,5
Yanovia_Gora-Panama,Americas,Panama,BCI,11,BCI11,>60cm,4,0,4
Yanovia_Gora-Panama,Americas,Panama,BCI,12,BCI12,10-30cm,0,2,2
Yanovia_Gora-Panama,Americas,Panama,BCI,12,BCI12,30-60cm,6,6,12
Yanovia_Gora-Panama,Americas,Panama,BCI,12,BCI12,>60cm,1,2,3
Yanovia_Gora-Panama,Americas,Panama,BCI,14,BCI14,10-30cm,4,1,5
Yanovia_Gora-Panama,Americas,Panama,BCI,14,BCI14,30-60cm,1,0,1
Yanovia_Gora-Panama,Americas,Panama,BCI,14,BCI14,>60cm,1,1,2
Yanovia_Gora-Panama,Americas,Panama,BCI,15,BCI15,10-30cm,0,1,1
Yanovia_Gora-Panama,Americas,Panama,BCI,15,BCI15,30-60cm,0,1,1
Yanovia_Gora-Panama,Americas,Panama,BCI,15,BCI15,>60cm,0,1,1
Yanovia_Gora-Panama,Americas,Panama,BCI,16,BCI16,10-30cm,2,9,11
Yanovia_Gora-Panama,Americas,Panama,BCI,16,BCI16,30-60cm,0,4,4
Yanovia_Gora-Panama,Americas,Panama,BCI,16,BCI16,>60cm,1,0,1
Yanovia_Gora-Panama,Americas,Panama,BCI,17,BCI17,10-30cm,2,17,19
Yanovia_Gora-Panama,Americas,Panama,BCI,17,BCI17,30-60cm,1,3,4
Yanovia_Gora-Panama,Americas,Panama,BCI,17,BCI17,>60cm,1,4,5
Yanovia_Gora-Panama,Americas,Panama,BCI,18,BCI18,10-30cm,1,4,5
Yanovia_Gora-Panama,Americas,Panama,BCI,18,BCI18,30-60cm,0,5,5
Yanovia_Gora-Panama,Americas,Panama,BCI,18,BCI18,>60cm,1,3,4
Yanovia_Gora-Panama,Americas,Panama,BCI,19,BCI19,10-30cm,1,5,6
Yanovia_Gora-Panama,Americas,Panama,BCI,19,BCI19,30-60cm,0,3,3
Yanovia_Gora-Panama,Americas,Panama,BCI,19,BCI19,>60cm,1,4,5
Yanovia_Gora-Panama,Americas,Panama,BCI,20,BCI20,10-30cm,2,0,2
Yanovia_Gora-Panama,Americas,Panama,BCI,20,BCI20,30-60cm,0,3,3
Yanovia_Gora-Panama,Americas,Panama,BCI,20,BCI20,>60cm,0,3,3
Yanovia_Gora-Panama,Americas,Panama,BCI,21,BCI21,10-30cm,1,1,2
Yanovia_Gora-Panama,Americas,Panama,BCI,21,BCI21,30-60cm,1,1,2
Yanovia_Gora-Panama,Americas,Panama,BCI,21,BCI21,>60cm,0,1,1
Yanovia_Gora-Panama,Americas,Panama,BCI,22,BCI22,10-30cm,2,10,12
Yanovia_Gora-Panama,Americas,Panama,BCI,22,BCI22,30-60cm,1,10,11
Yanovia_Gora-Panama,Americas,Panama,BCI,22,BCI22,>60cm,3,5,8
Yanovia_Gora-Panama,Americas,Panama,BCI,23,BCI23,10-30cm,1,6,7
Yanovia_Gora-Panama,Americas,Panama,BCI,23,BCI23,30-60cm,1,1,2
Yanovia_Gora-Panama,Americas,Panama,BCI,23,BCI23,>60cm,0,2,2
Yanovia_Gora-Panama,Americas,Panama,BCI,24,BCI24,10-30cm,0,9,9
Yanovia_Gora-Panama,Americas,Panama,BCI,24,BCI24,30-60cm,0,7,7
Yanovia_Gora-Panama,Americas,Panama,BCI,24,BCI24,>60cm,2,2,4
Yanovia_Gora-Panama,Americas,Panama,BCI,25,BCI25,10-30cm,2,0,2
Yanovia_Gora-Panama,Americas,Panama,BCI,25,BCI25,30-60cm,0,0,0
Yanovia_Gora-Panama,Americas,Panama,BCI,25,BCI25,>60cm,1,0,1
Yanovia_Gora-Panama,Americas,Panama,BCI,26,BCI26,10-30cm,7,11,18
Yanovia_Gora-Panama,Americas,Panama,BCI,26,BCI26,30-60cm,0,4,4
Yanovia_Gora-Panama,Americas,Panama,BCI,26,BCI26,>60cm,0,1,1
Yanovia_Gora-Panama,Americas,Panama,BCI,27,BCI27,10-30cm,1,9,10
Yanovia_Gora-Panama,Americas,Panama,BCI,27,BCI27,30-60cm,0,6,6
Yanovia_Gora-Panama,Americas,Panama,BCI,27,BCI27,>60cm,0,3,3
Yanovia_Gora-Panama,Americas,Panama,BCI,28,BCI28,10-30cm,2,12,14
Yanovia_Gora-Panama,Americas,Panama,BCI,28,BCI28,30-60cm,0,5,5
Yanovia_Gora-Panama,Americas,Panama,BCI,28,BCI28,>60cm,0,1,1
Yanovia_Gora-Panama,Americas,Panama,BCI,30,BCI30,10-30cm,4,10,14
Yanovia_Gora-Panama,Americas,Panama,BCI,30,BCI30,30-60cm,0,8,8
Yanovia_Gora-Panama,Americas,Panama,BCI,30,BCI30,>60cm,2,2,4
Yanovia_Gora-Panama,Americas,Panama,BCI,31,BCI31,10-30cm,0,2,2
Yanovia_Gora-Panama,Americas,Panama,BCI,31,BCI31,30-60cm,0,4,4
Yanovia_Gora-Panama,Americas,Panama,BCI,31,BCI31,>60cm,0,1,1
Yanovia_Gora-Panama,Americas,Panama,BCI,32,BCI32,10-30cm,0,7,7
Yanovia_Gora-Panama,Americas,Panama,BCI,32,BCI32,30-60cm,0,2,2
Yanovia_Gora-Panama,Americas,Panama,BCI,32,BCI32,>60cm,0,2,2
Yanovia_Gora-Panama,Americas,Panama,BCI,33,BCI33,10-30cm,0,3,3
Yanovia_Gora-Panama,Americas,Panama,BCI,33,BCI33,30-60cm,0,5,5
Yanovia_Gora-Panama,Americas,Panama,BCI,33,BCI33,>60cm,2,3,5
Yanovia_Gora-Panama,Americas,Panama,BCI,34,BCI34,10-30cm,2,3,5
Yanovia_Gora-Panama,Americas,Panama,BCI,34,BCI34,30-60cm,5,6,11
Yanovia_Gora-Panama,Americas,Panama,BCI,34,BCI34,>60cm,2,1,3
Yanovia_Gora-Panama,Americas,Panama,BCI,29a,BCI29a,10-30cm,1,5,6
Yanovia_Gora-Panama,Americas,Panama,BCI,29a,BCI29a,30-60cm,0,4,4
Yanovia_Gora-Panama,Americas,Panama,BCI,29a,BCI29a,>60cm,1,3,4
